city_id,city,state,sea_level(in meters(m)),zipcode
CHI,Chicago,IL,176,60601
STL,StLouis,MO,142,63101
DAL,Dallas,TX,149,75201
HOU,Houston,TX,15,77001
MEM,Memphis,TN,103,38103
NAS,Nashville,TN,182,37201
KC,KansasCity,MO,277,64101
OMA,Omaha,NE,293,68102
MSP,Minneapolis,MN,256,55401
DSM,DesMoines,IA,266,50309
BIS,Bismarck,ND,532,58501
FGO,Fargo,ND,274,58102
MKE,Milwaukee,WI,188,53202
MAD,Madison,WI,267,53703
JAN,Jackson,MS,110,39201
NOL,NewOrleans,LA,6,70112
LIT,LittleRock,AR,102,72201
OKC,OklahomaCity,OK,366,73102
WIC,Wichita,KS,401,67202
SAT,SanAntonio,TX,198,78205
BIR,Birmingham,AL,192,35203
FSD,SouixFalls,SD,446,57104
SPR,Springfield,MO,396,65802
TUL,Tulsa,OK,220,74103
SHV,Shreveport,LA,77,71101
GRB,GreenBay,WI,177,54301
MOB,Mobile,AL,3,36602
PEO,Peoria,IL,217,61602
